Architecture: alexnet
Load dataset: 5.14 s
Compute features
211 / 5005	Time: 0.046 (0.317)
212 / 5005	Time: 0.055 (0.316)
213 / 5005	Time: 0.050 (0.315)
214 / 5005	Time: 0.050 (0.313)
215 / 5005	Time: 0.044 (0.312)
216 / 5005	Time: 0.040 (0.311)
217 / 5005	Time: 0.072 (0.310)
218 / 5005	Time: 0.452 (0.310)
219 / 5005	Time: 0.045 (0.309)
220 / 5005	Time: 0.043 (0.308)
221 / 5005	Time: 0.044 (0.307)
222 / 5005	Time: 0.052 (0.306)
223 / 5005	Time: 0.055 (0.305)
224 / 5005	Time: 1.530 (0.310)
225 / 5005	Time: 0.038 (0.309)
226 / 5005	Time: 0.038 (0.308)
227 / 5005	Time: 0.048 (0.307)
228 / 5005	Time: 0.058 (0.305)
229 / 5005	Time: 0.060 (0.304)
230 / 5005	Time: 0.058 (0.303)
231 / 5005	Time: 0.073 (0.302)
232 / 5005	Time: 0.040 (0.301)
233 / 5005	Time: 0.052 (0.300)
234 / 5005	Time: 0.053 (0.299)
235 / 5005	Time: 0.041 (0.298)
236 / 5005	Time: 0.344 (0.298)
237 / 5005	Time: 0.049 (0.297)
238 / 5005	Time: 0.063 (0.296)
239 / 5005	Time: 0.040 (0.295)
240 / 5005	Time: 0.040 (0.294)
241 / 5005	Time: 0.042 (0.293)
242 / 5005	Time: 1.731 (0.299)
243 / 5005	Time: 0.071 (0.298)
244 / 5005	Time: 0.046 (0.297)
245 / 5005	Time: 0.058 (0.296)
246 / 5005	Time: 0.046 (0.295)
247 / 5005	Time: 0.095 (0.294)
248 / 5005	Time: 0.044 (0.293)
249 / 5005	Time: 0.052 (0.292)
250 / 5005	Time: 0.039 (0.291)
251 / 5005	Time: 0.054 (0.290)
252 / 5005	Time: 0.048 (0.289)
253 / 5005	Time: 0.064 (0.288)
254 / 5005	Time: 0.153 (0.288)
255 / 5005	Time: 0.044 (0.287)
256 / 5005	Time: 0.054 (0.286)
257 / 5005	Time: 0.044 (0.285)
258 / 5005	Time: 0.058 (0.284)
259 / 5005	Time: 0.047 (0.283)
260 / 5005	Time: 1.947 (0.290)
261 / 5005	Time: 0.044 (0.289)
262 / 5005	Time: 0.050 (0.288)
263 / 5005	Time: 0.039 (0.287)
